events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,69.0
Production started,1,Cash 1,0,69.0
Production complete,1,Cash 1,0,206.0787833243379
Creation,2,Regular Customers Source,0,140.0
Production started,2,Cash 1,0,206.0787833243379
Production complete,2,Cash 1,0,420.17893059588675
Creation,3,Regular Customers Source,0,283.0
Production started,3,Cash 2,0,283.0
Production complete,3,Cash 2,0,502.0074496033798
Creation,4,Regular Customers Source,0,351.0
Production started,4,Cash 2,0,502.0074496033798
Production complete,4,Cash 2,0,534.0823420307352
Creation,5,Service Customers Source,1,306.0
Production started,5,Service Desk,1,306.0
Production complete,5,Service Desk,1,542.3141000055496
Creation,6,Regular Customers Source,0,214.0
Production started,6,Cash 1,0,420.17893059588675
Production complete,6,Cash 1,0,577.8335352165054
Creation,7,Regular Customers Source,0,479.0
Production started,7,Service Desk,0,542.3141000055496
Production complete,7,Service Desk,0,743.337647873346
Creation,8,Regular Customers Source,0,543.0
Production started,8,Cash 2,0,543.0
Production complete,8,Cash 2,0,763.0585424546894
Creation,9,Regular Customers Source,0,421.0
Production started,9,Cash 1,0,577.8335352165054
Production complete,9,Cash 1,0,814.9535781797504
Creation,10,Regular Customers Source,0,601.0
Production started,10,Cash 1,0,814.9535781797504
Production complete,10,Cash 1,0,900.0881284764109
Creation,11,Service Customers Source,1,610.0
Production started,11,Service Desk,1,743.337647873346
Production complete,11,Service Desk,1,960.9194794755933
Creation,12,Regular Customers Source,0,678.0
Production started,12,Cash 2,0,763.0585424546894
Production complete,12,Cash 2,0,1041.0198441984471
Creation,13,Regular Customers Source,0,860.0
Production started,13,Cash 1,0,900.0881284764109
Production complete,13,Cash 1,0,1098.0791800905201
Creation,14,Service Customers Source,1,893.0
Production started,14,Service Desk,1,960.9194794755933
Production complete,14,Service Desk,1,1109.4118836866353
Creation,15,Regular Customers Source,0,805.0
Production started,15,Cash 2,0,1041.0198441984471
Production complete,15,Cash 2,0,1165.2843020412436
Creation,16,Regular Customers Source,0,921.0
Production started,16,Cash 1,0,1098.0791800905201
Production complete,16,Cash 1,0,1290.5252943399905
Creation,17,Regular Customers Source,0,1051.0
Production started,17,Cash 2,0,1165.2843020412436
Production complete,17,Cash 2,0,1304.5635286332174
Creation,18,Regular Customers Source,0,746.0
Production started,18,Service Desk,0,1109.4118836866353
Production complete,18,Service Desk,0,1346.2346083576758
Creation,19,Regular Customers Source,0,988.0
Production started,19,Cash 1,0,1290.5252943399905
Production complete,19,Cash 1,0,1385.4635521111898
Creation,20,Regular Customers Source,0,1212.0
Production started,20,Cash 2,0,1304.5635286332174
Production complete,20,Cash 2,0,1390.7300485913938
Creation,21,Regular Customers Source,0,1278.0
Production started,21,Cash 2,0,1390.7300485913938
Production complete,21,Cash 2,0,1489.7292914584514
Creation,22,Regular Customers Source,0,1100.0
Production started,22,Cash 1,0,1385.4635521111898
Production complete,22,Cash 1,0,1580.097683345756
Creation,23,Service Customers Source,1,1219.0
Production started,23,Service Desk,1,1346.2346083576758
Production complete,23,Service Desk,1,1597.2375764669011
Creation,24,Regular Customers Source,0,1395.0
Production started,24,Cash 2,0,1489.7292914584514
Production complete,24,Cash 2,0,1627.7643314304673
Creation,25,Regular Customers Source,0,1517.0
Production started,25,Cash 2,0,1627.7643314304673
Production complete,25,Cash 2,0,1706.795067650453
Creation,26,Service Customers Source,1,1526.0
Production started,26,Service Desk,1,1597.2375764669011
Production complete,26,Service Desk,1,1712.883947688572
Creation,27,Regular Customers Source,0,1338.0
Production started,27,Cash 1,0,1580.097683345756
Production complete,27,Cash 1,0,1812.5259961303582
Creation,28,Regular Customers Source,0,1157.0
Production started,28,Service Desk,0,1712.883947688572
Production complete,28,Service Desk,0,1875.3629581128305
Creation,29,Regular Customers Source,0,1454.0
Production started,29,Cash 1,0,1812.5259961303582
Production complete,29,Cash 1,0,1895.6608000971298
Creation,30,Regular Customers Source,0,1667.0
Production started,30,Cash 2,0,1706.795067650453
Production complete,30,Cash 2,0,1948.5488240174518
Creation,31,Regular Customers Source,0,1584.0
Production started,31,Cash 1,0,1895.6608000971298
Production complete,31,Cash 1,0,2021.3118887018086
Creation,32,Regular Customers Source,0,1721.0
Production started,32,Cash 2,0,1948.5488240174518
Production complete,32,Cash 2,0,2059.719443008833
Creation,33,Service Customers Source,1,1863.0
Production started,33,Service Desk,1,1875.3629581128305
Production complete,33,Service Desk,1,2100.9829382914563
Creation,34,Regular Customers Source,0,1849.0
Production started,34,Cash 1,0,2021.3118887018086
Production complete,34,Cash 1,0,2107.0985086794576
Creation,35,Regular Customers Source,0,1968.0
Production started,35,Cash 2,0,2059.719443008833
Production complete,35,Cash 2,0,2153.6243247598754
Creation,36,Regular Customers Source,0,2101.0
Production started,36,Cash 2,0,2153.6243247598754
Production complete,36,Cash 2,0,2220.484966853561
Creation,37,Regular Customers Source,0,2159.0
Production started,37,Cash 2,0,2220.484966853561
Production complete,37,Cash 2,0,2265.67767702348
Creation,38,Regular Customers Source,0,1904.0
Production started,38,Cash 1,0,2107.0985086794576
Production complete,38,Cash 1,0,2268.352010290533
Creation,39,Regular Customers Source,0,1790.0
Production started,39,Service Desk,0,2100.9829382914563
Production complete,39,Service Desk,0,2297.2963774471846
Creation,40,Service Customers Source,1,2197.0
Production started,40,Service Desk,1,2297.2963774471846
Production complete,40,Service Desk,1,2407.68005413886
Creation,41,Regular Customers Source,0,2271.0
Production started,41,Cash 2,0,2271.0
Production complete,41,Cash 2,0,2419.613010169873
Creation,42,Regular Customers Source,0,2032.0
Production started,42,Cash 1,0,2268.352010290533
Production complete,42,Cash 1,0,2496.891114272888
