events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,false,275.0
Production started,1,Service Desk,false,275.0
Production complete,1,Service Desk,false,321.82533044380085
Creation,2,Regular Customers Source,false,50.0
Production started,2,Cash 1,false,50.0
Production complete,2,Cash 1,false,328.21314117885044
Creation,3,Regular Customers Source,false,174.0
Production started,3,Cash 2,false,174.0
Production complete,3,Cash 2,false,402.5366561240789
Creation,4,Regular Customers Source,false,109.0
Production started,4,Cash 1,false,328.21314117885044
Production complete,4,Cash 1,false,415.16538130736353
Creation,5,Regular Customers Source,false,339.0
Production started,5,Cash 1,false,415.16538130736353
Production complete,5,Cash 1,false,534.216296746511
Creation,6,Regular Customers Source,false,219.0
Production started,6,Cash 2,false,402.5366561240789
Production complete,6,Cash 2,false,557.9217875111752
Creation,7,Regular Customers Source,false,460.0
Production started,7,Cash 1,false,534.216296746511
Production complete,7,Cash 1,false,617.2883286159345
Creation,8,Service Customers Source,true,321.0
Production started,8,Service Desk,true,321.82533044380085
Production complete,8,Service Desk,true,704.7089555400244
Creation,9,Regular Customers Source,false,587.0
Production started,9,Cash 1,false,617.2883286159345
Production complete,9,Cash 1,false,721.4137228258223
Creation,10,Regular Customers Source,false,404.0
Production started,10,Cash 2,false,557.9217875111752
Production complete,10,Cash 2,false,737.016217534634
Creation,11,Regular Customers Source,false,655.0
Production started,11,Cash 1,false,721.4137228258223
Production complete,11,Cash 1,false,872.456688065097
Creation,12,Service Customers Source,true,654.0
Production started,12,Service Desk,true,704.7089555400244
Production complete,12,Service Desk,true,902.9444058191957
Creation,13,Regular Customers Source,false,722.0
Production started,13,Cash 1,false,872.456688065097
Production complete,13,Cash 1,false,925.1031299014093
Creation,14,Regular Customers Source,false,891.0
Production started,14,Cash 1,false,925.1031299014093
Production complete,14,Cash 1,false,996.3274050694912
Creation,15,Regular Customers Source,false,780.0
Production started,15,Cash 2,false,780.0
Production complete,15,Cash 2,false,1027.421264584542
Creation,16,Regular Customers Source,false,514.0
Production started,16,Service Desk,false,902.9444058191957
Production complete,16,Service Desk,false,1037.671056716981
Creation,17,Regular Customers Source,false,964.0
Production started,17,Cash 1,false,996.3274050694912
Production complete,17,Cash 1,false,1187.9093212712864
Creation,18,Regular Customers Source,false,1035.0
Production started,18,Cash 1,false,1187.9093212712864
Production complete,18,Cash 1,false,1215.4768059194544
Creation,19,Regular Customers Source,false,838.0
Production started,19,Cash 2,false,1027.421264584542
Production complete,19,Cash 2,false,1215.8316888535367
Creation,20,Service Customers Source,true,958.0
Production started,20,Service Desk,true,1037.671056716981
Production complete,20,Service Desk,true,1291.4325513311612
Creation,21,Regular Customers Source,false,1217.0
Production started,21,Cash 1,false,1217.0
Production complete,21,Cash 1,false,1346.1257090776687
Creation,22,Regular Customers Source,false,1100.0
Production started,22,Cash 2,false,1215.8316888535367
Production complete,22,Cash 2,false,1359.241524791882
Creation,23,Service Customers Source,true,1233.0
Production started,23,Service Desk,true,1291.4325513311612
Production complete,23,Service Desk,true,1396.0642013926652
Creation,24,Regular Customers Source,false,1271.0
Production started,24,Cash 1,false,1346.1257090776687
Production complete,24,Cash 1,false,1459.4047087004476
Creation,25,Regular Customers Source,false,1149.0
Production started,25,Service Desk,false,1396.0642013926652
Production complete,25,Service Desk,false,1523.6054034007873
Creation,26,Regular Customers Source,false,1322.0
Production started,26,Cash 2,false,1359.241524791882
Production complete,26,Cash 2,false,1539.2832157358594
Creation,27,Regular Customers Source,false,1391.0
Production started,27,Cash 1,false,1459.4047087004476
Production complete,27,Cash 1,false,1560.954716480663
Creation,28,Regular Customers Source,false,1453.0
Production started,28,Cash 2,false,1539.2832157358594
Production complete,28,Cash 2,false,1688.7174485345683
Creation,29,Service Customers Source,true,1547.0
Production started,29,Service Desk,true,1547.0
Production complete,29,Service Desk,true,1735.9404469300018
Creation,30,Regular Customers Source,false,1616.0
Production started,30,Cash 2,false,1688.7174485345683
Production complete,30,Cash 2,false,1781.8393576164426
Creation,31,Regular Customers Source,false,1504.0
Production started,31,Cash 1,false,1560.954716480663
Production complete,31,Cash 1,false,1820.3931510248315
Creation,32,Regular Customers Source,false,1681.0
Production started,32,Service Desk,false,1735.9404469300018
Production complete,32,Service Desk,false,1826.9068888435643
Creation,33,Regular Customers Source,false,1733.0
Production started,33,Cash 2,false,1781.8393576164426
Production complete,33,Cash 2,false,1914.4831349432868
Creation,34,Regular Customers Source,false,1563.0
Production started,34,Cash 1,false,1820.3931510248315
Production complete,34,Cash 1,false,1978.9047895995639
Creation,35,Regular Customers Source,false,1800.0
Production started,35,Cash 2,false,1914.4831349432868
Production complete,35,Cash 2,false,2066.459903324991
Creation,36,Service Customers Source,true,1835.0
Production started,36,Service Desk,true,1835.0
Production complete,36,Service Desk,true,2099.4660938998127
Creation,37,Regular Customers Source,false,1857.0
Production started,37,Cash 1,false,1978.9047895995639
Production complete,37,Cash 1,false,2182.614030663546
Creation,38,Regular Customers Source,false,1926.0
Production started,38,Cash 2,false,2066.459903324991
Production complete,38,Cash 2,false,2218.5620895759466
Creation,39,Regular Customers Source,false,2045.0
Production started,39,Service Desk,false,2099.4660938998127
Production complete,39,Service Desk,false,2314.17797406224
Creation,40,Regular Customers Source,false,1991.0
Production started,40,Cash 1,false,2182.614030663546
Production complete,40,Cash 1,false,2341.679378494812
Creation,41,Regular Customers Source,false,2113.0
Production started,41,Cash 2,false,2218.5620895759466
Production complete,41,Cash 2,false,2418.1261340170727
Creation,42,Regular Customers Source,false,2240.0
Production started,42,Cash 2,false,2418.1261340170727
Production complete,42,Cash 2,false,2507.2189721242744
Creation,43,Regular Customers Source,false,2173.0
Production started,43,Cash 1,false,2341.679378494812
Production complete,43,Cash 1,false,2513.131386734951
Creation,44,Service Customers Source,true,2131.0
Production started,44,Service Desk,true,2314.17797406224
Production complete,44,Service Desk,true,2543.034261856047
Creation,45,Regular Customers Source,false,2376.0
Production started,45,Cash 1,false,2513.131386734951
Production complete,45,Cash 1,false,2671.4747042360077
Creation,46,Regular Customers Source,false,2443.0
Production started,46,Cash 2,false,2507.2189721242744
Production complete,46,Cash 2,false,2732.75469764632
Creation,47,Service Customers Source,true,2446.0
Production started,47,Service Desk,true,2543.034261856047
Production complete,47,Service Desk,true,2774.825610564743
Creation,48,Regular Customers Source,false,2501.0
Production started,48,Cash 1,false,2671.4747042360077
Production complete,48,Cash 1,false,2850.6096713960133
Creation,49,Regular Customers Source,false,2551.0
Production started,49,Cash 2,false,2732.75469764632
Production complete,49,Cash 2,false,2916.1057215729093
Creation,50,Regular Customers Source,false,2608.0
Production started,50,Cash 1,false,2850.6096713960133
Production complete,50,Cash 1,false,2965.7387634621236
Creation,51,Service Customers Source,true,2757.0
Production started,51,Service Desk,true,2774.825610564743
Production complete,51,Service Desk,true,3004.0651391916517
Creation,52,Regular Customers Source,false,2316.0
Production started,52,Service Desk,false,3004.0651391916517
Production complete,52,Service Desk,false,3121.688004988998
Creation,53,Regular Customers Source,false,2671.0
Production started,53,Cash 2,false,2916.1057215729093
Production complete,53,Cash 2,false,3132.007150128021
Creation,54,Regular Customers Source,false,2737.0
Production started,54,Cash 1,false,2965.7387634621236
Production complete,54,Cash 1,false,3137.892864622974
Creation,55,Regular Customers Source,false,2856.0
Production started,55,Cash 1,false,3137.892864622974
Production complete,55,Cash 1,false,3265.1139215598428
Creation,56,Regular Customers Source,false,2795.0
Production started,56,Cash 2,false,3132.007150128021
Production complete,56,Cash 2,false,3296.4623114449832
Creation,57,Service Customers Source,true,3064.0
Production started,57,Service Desk,true,3121.688004988998
Production complete,57,Service Desk,true,3421.6981174749217
Creation,58,Regular Customers Source,false,2922.0
Production started,58,Cash 2,false,3296.4623114449832
Production complete,58,Cash 2,false,3440.0582417327155
Creation,59,Regular Customers Source,false,2987.0
Production started,59,Cash 1,false,3265.1139215598428
Production complete,59,Cash 1,false,3494.4031029335247
Creation,60,Regular Customers Source,false,3137.0
Production started,60,Cash 2,false,3440.0582417327155
Production complete,60,Cash 2,false,3635.881571631514
Creation,61,Regular Customers Source,false,3099.0
Production started,61,Cash 1,false,3494.4031029335247
Production complete,61,Cash 1,false,3708.378295215205
Creation,62,Regular Customers Source,false,3323.0
Production started,62,Cash 2,false,3635.881571631514
Production complete,62,Cash 2,false,3798.7554551036637
Creation,63,Regular Customers Source,false,3265.0
